ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
100323185,The Hipster @ Taman Desa,2022,RM 4 200 per month,Kuala Lumpur - Taman Desa,Condominium,5,2,6,1842 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
100203973,Segar Courts,,RM 2 300 per month,Kuala Lumpur - Cheras,Condominium,3,1,2,1170 sq.ft.,Partially Furnished,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
100323128,Pangsapuri Teratak Muhibbah 2,,RM 1 000 per month,Kuala Lumpur - Taman Desa,Apartment,3,,2,650 sq.ft.,Fully Furnished,"Minimart, Jogging Track, Lift, Swimming Pool",,Kuala Lumpur
100191767,Sentul Point Suite Apartment,2020,RM 1 700 per month,Kuala Lumpur - Sentul,Apartment,2,1,2,743 sq.ft.,Partially Furnished,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
97022692,Arte Mont Kiara,,RM 1 299 per month,Kuala Lumpur - Mont Kiara,Service Residence,1,1,1,494 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Air-Cond,Kuala Lumpur
100322897,Residensi Vista Wirajaya,,RM 1 500 per month,Kuala Lumpur - Setapak,Apartment,3,1,2,884 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
100322962,Sky Meridien,,RM 2 900 per month,Kuala Lumpur - Sentul,Service Residence,3,2,2,982 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
100322885,Arte Plus Jalan Ampang,2018,RM 1 550 per month,Kuala Lumpur - Ampang,Service Residence,1,1,1,700 sq.ft.,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
100322866,Nova I,2014,RM 1 400 per month,Kuala Lumpur - Segambut,Apartment,2,1,1,750 sq.ft.,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
100322863,Sofiya Residences,,RM 1 350 per month,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862 sq.ft.,Partially Furnished,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
100322813,The Park Sky Residence @ Bukit Jalil City,2019,RM 2 600 per month,Kuala Lumpur - Bukit Jalil,Service Residence,2,,2,868 sq.ft.,Partially Furnished,"Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
100322809,PV9 Residences @ Taman Melati,2022,RM 2 000 per month,Kuala Lumpur - Setapak,Service Residence,4,2,2,1100 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
100322802,Arte Plus Jalan Ampang,2018,RM 1 500 per month,Kuala Lumpur - Ampang,Service Residence,1,1,1,700 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
87950203,Maxim Citilights,2017,RM 1 300 per month,Kuala Lumpur - Sentul,Service Residence,3,1,2,1009 sq.ft.,Fully Furnished,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
100239196,Greenview Apartments,,RM 1 000 per month,Kuala Lumpur - Kepong,Apartment,5,,2,855 sq.ft.,Partially Furnished,"Security, Parking, Lift","Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
100322320,Legasi Kampong Bharu,2020,RM 3 200 per month,Kuala Lumpur - KL City,Apartment,3,1,2,950 sq.ft.,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
100322311,Legasi Kampong Bharu,2020,RM 3 200 per month,Kuala Lumpur - KL City,Apartment,3,1,2,950 sq.ft.,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
100322212,Majestic Maxim,2021,RM 1 400 per month,Kuala Lumpur - Cheras,Service Residence,2,2,2,650 sq.ft.,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur
100273500,Desa Villas,,RM 2 500 per month,Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1784 sq.ft.,Not Furnished,"Parking, Security, Lift, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
100231953,East Side One Ampang Avenue,,RM 1 800 per month,Kuala Lumpur - Ampang,Condominium,3,1,2,1100 sq.ft.,Fully Furnished,"Gymnasium, Minimart, Tennis Court, Squash Court, Sauna, Security, Swimming Pool, Parking",,Kuala Lumpur
100322123,Majestic Maxim,2021,RM 1 099 per month,Kuala Lumpur - Cheras,Service Residence,2,1,2,650 sq.ft.,Not Furnished,"Playground, Lift, Barbeque area, Security, Parking, Jogging Track, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
100310024,Majestic Maxim,2021,RM 1 099 per month,Kuala Lumpur - Cheras,Service Residence,2,1,2,650 sq.ft.,Partially Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
100310022,Majestic Maxim,2021,RM 1 199 per month,Kuala Lumpur - Cheras,Service Residence,3,1,2,819 sq.ft.,Not Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
100290514,Majestic Maxim,2021,RM 1 100 per month,Kuala Lumpur - Cheras,Service Residence,2,1,2,650 sq.ft.,Not Furnished,"Jogging Track, Parking, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
100267049,Sri Penara,,RM 1 000 per month,Kuala Lumpur - Cheras,Apartment,3,,2,650 sq.ft.,Not Furnished,"Parking, Minimart, Playground",,Kuala Lumpur
100201993,Prisma Cheras,,RM 1 100 per month,Kuala Lumpur - Cheras,Condominium,1,1,1,900 sq.ft.,Partially Furnished,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Playground",,Kuala Lumpur
100295196,Menara Alpha,,RM 1 400 per month,Kuala Lumpur - Wangsa Maju,Condominium,3,1,2,1140 sq.ft.,Not Furnished,"Parking, Minimart, Security, Gymnasium, Swimming Pool, Playground",,Kuala Lumpur
100322088,Berlian Residence @ Setapak,,RM 1 500 per month,Kuala Lumpur - Setapak,Condominium,3,1,2,900 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Multipurpose hall",,Kuala Lumpur
100322086,28 Dutamas,2017,RM 2 500 per month,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1500 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
100322100,28 Dutamas,2017,RM 2 900 per month,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1719 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
100322078,Pangsapuri Melur (Sentul),2006,RM 1 750 per month,Kuala Lumpur - Sentul,Apartment,3,,2,1065 sq.ft.,Partially Furnished,,,Kuala Lumpur
100202252,Residensi Vista Wirajaya,,RM 1 800 per month,Kuala Lumpur - Setapak,Apartment,3,1,2,885 sq.ft.,Fully Furnished,,,Kuala Lumpur
100136931,Bayu Sentul Condominium,2015,RM 1 900 per month,Kuala Lumpur - Sentul,Condominium,3,2,2,1300 sq.ft.,Partially Furnished,,,Kuala Lumpur
100234716,Flexus Signature Suites,,RM 1 500 per month,Kuala Lumpur - Jalan Kuching,Studio,1,1,1,530 sq.ft.,Fully Furnished,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
100322047,Menjalara 18,,RM 2 400 per month,Kuala Lumpur - Bandar Menjalara,Condominium,3,1,2,1316 sq.ft.,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
